song,link,album,year,artist
Intro (Because Of You),../lyrics/n2u/introbecauseofyou.html,Issues,2005,N2U
Freakin' You (Set The Mood),../lyrics/n2u/freakinyousetthemood.html,Issues,2005,N2U
Baby Mama Love,../lyrics/n2u/babymamalove.html,Issues,2005,N2U
Pillow Talk,../lyrics/n2u/pillowtalk.html,Issues,2005,N2U
Breakin' The Law,../lyrics/n2u/breakinthelaw.html,Issues,2005,N2U
Coming From The Heart,../lyrics/n2u/comingfromtheheart.html,Issues,2005,N2U
No...Say No,../lyrics/n2u/nosayno.html,Issues,2005,N2U
Ain't That Bad,../lyrics/n2u/aintthatbad.html,Issues,2005,N2U
Don't Take Your Love Away,../lyrics/n2u/donttakeyourloveaway.html,Issues,2005,N2U
Issues,../lyrics/n2u/issues.html,Issues,2005,N2U
Beauty,../lyrics/n2u/beauty.html,Issues,2005,N2U
Don't Leave,../lyrics/n2u/dontleave.html,Issues,2005,N2U
I Promise You,../lyrics/n2u/ipromiseyou.html,Issues,2005,N2U
I Miss You,../lyrics/n2u/imissyou.html,,,N2U
